Bigram,Frequency
comeback isolator,1
comeback it,1
comeback new,1
comeback previous,1
comeback ref673604,1
comeback this,1
comet boksburg,1
coming _x000d_,1
coming any,1
coming celling,1
coming clients,1
coming cover,1
coming covered,1
coming cupboard,1
coming different,1
coming downlight,1
coming garage,1
coming house,1
coming if,1
coming neighbours,1
coming outlet,1
coming please,1
coming shower,1
coming somewhere,1
coming th,1
coming through,1
coming toilet,1
coming underground,1
coming valve,1
coming wall,1
coming waste,1
community claims,1
community scheme,1
company kwikot,1
company_x000d_ _x000d_,1
compare to,1
compile _x000d_,1
complained burst,1
complaining doesnt,1
complaining leaking,1
complaining water,1
complains pressure,1
complaints have,1
complete friday,1
complete repairs,1
completed may,1
completed we,1
completely forgot,1
complex 1,1
complex 15,1
complex 176,1
complex 18,1
complex 268,1
complex 48,1
complex 5,1
complex 6,1
complex 6th,1
complex 76,1
complex 8,1
complex _x000d_,1
complex andoen,1
complex barlinka,1
complex being,1
complex boksburg,1
complex geyser,1
complex manager,1
complex manger,1
complex odin,1
complex rooihuiskraal,1
complex terry,1
complex today,1
complex unit,1
complex unnamed,1
compliance _x000d_,1
compliant _x000d_,1
compliant cash,1
components are,1
components client,1
components just,1
components keep,1
comprehensive phase,1
comprehensive report,1
compressor client,1
con verhoef,1
conceal pipe,1
conceale4d flushing,1
concealed bathroom,1
concealed burst,1
concealed call,1
concealed can,1
concealed client,1
concealed coming,1
concealed if,1
concealed qoute,1
concealed repairs,1
concealed somewhere,1
concealed the,1
concealed wall,1
concealed water,1
concelaed pipe,1
concelaed r2000,1
concelead leaking,1
concerned the,1
concrete slab,1
conditions santam,1
conducted check,1
confirm burst,1
confirm client,1
confirm currently,1
confirm geyser,1
confirm if,1
confirm issue,1
confirm plumbing,1
confirm related,1
confirm validity,1
confirm was,1
confirm while,1
confirmed 10,1
confirmed and,1
confirmed assessment,1
confirmed be,1
confirmed call,1
confirmed come,1
confirmed electrical,1
confirmed excesswater,1
confirmed galvanized,1
confirmed geberit,1
confirmed hours,1
confirmed if,1
confirmed leak,1
confirmed monday,1
confirmed only,1
confirmed plumber,1
confirmed replaced,1
confirmed that,1
confirmed tomorrow,1
confirmed valid,1
confirmed water,1
confirmed with,1
conifer road,1
coning ceiling,1
connaught avenue,1
connected ceiling,1
connected dishwater,1
connected heatpump,1
connected pipe,1
connected pipes,1
connected properly,1
connecting dishwasher,1
connecting tap,1
connection client,1
connection covered,1
connection mixer,1
connection where,1
connector client,1
connector fee,1
connects toilet,1
connie broker,1
connie reorted,1
connie teh,1
connor a,1
connor faulty,1
conrad advised,1
conrad reported,1
conserbe co,1
conservatory lakefield_x000d_,1
consider paying,1
consideration assistance,1
constantia drive,1
constantia kloof,1
constantia stsecunda,1
constantly blocking,1
constantly leaking,1
construction 27,1
construction plumbingmain,1
construction sp,1
consultant elton,1
consumption test,1
contact 0605704910,1
contact 0731853700,1
contact 0785031540,1
contact 0794956449,1
contact 0812824856,1
contact 0824278589,1
contact 0828243268,1
contact 0828981412,1
contact 0832368232,1
contact 0835398634,1
contact 0844450509,1
contact 0845577531,1
contact 0861,1
contact 27842079516_x000d_,1
contact 527825080990,1
contact 61415180714,1
contact access,1
contact any,1
contact boitumelo,1
contact case,1
contact client,1
contact elaine,1
contact elize,1
contact for,1
contact frik,1
contact gys,1
contact jené,1
contact kenosi,1
contact larisha,1
contact leak,1
contact lindani,1
contact michelle,1
contact panorama,1
contact sage,1
contact sophy,1
contact tanya,1
contact trudy,1
contactable also,1
contacted 0739716301,1
contacted 0835151424,1
contacted advised,1
contacted for,1
contacted if,1
contacted reported,1
contacted sp,1
contacted the,1
contacts 0726715916,1
continuously client,1
continuously flowing,1
continuously unit,1
controller location,1
convert gas,1
converter bath,1
conville george,1
cooper 0649032991,1
cooper cables,1
copper reducer,1
copper water,1
cor trichardts,1
corine brolink,1
corine vermas,1
corlette drive,1
corne called,1
corne psg,1
corne reported,1
corne van,1
cornel advised,1
cornel broker,1
cornel burger,1
cornel burst,1
cornelis st,1
cornell burger,1
corp _x000d_,1
corp already,1
corp attending,1
corp not,1
corp reported,1
corp summerbrooke,1
corp tenant,1
corp water,1
corporate benita,1
corporate contact,1
corporate name,1
corporation groblersdale,1
corportate elardos,1
correct tools,1
corrielog avenue,1
corris 0834531521,1
corroded lets,1
cost 114,1
cost 12,1
cost 421,1
cost 64,1
cost 8,1
cost _x000d_,1
cost agreed,1
cost call,1
cost drain,1
cost k,1
cost mor,1
cost morer600,1
cost r,1
cost r6000,1
cost replacement,1
cost s,1
costing kp,1
costs 608,1
costs ar,1
costs be,1
costs directly,1
costs dont,1
costs inclusing,1
costs more,1
costs r900_x000d_,1
costs should,1
costs vcover,1
cotswold gqeberha_x000d_,1
cottage st,1
cotton hallow,1
could access,1
could assist,1
could clc,1
could process,1
could send,1
couldnt access,1
couldnt even,1
council been,1
country estates,1
country village,1
course client,1
court 699,1
court bridgetown,1
court the,1
court unit,1
courtney 0626872506,1
cout and,1
coved upto,1
covent gardens,1
cover 0315397115,1
cover 14,1
cover 1s,1
cover and,1
cover automatic,1
cover been,1
cover blocked,1
cover building,1
cover c2000,1
cover claim,1
cover confirmed,1
cover costs,1
cover cr2000,1
cover excl,1
cover first,1
cover labour_x000d_,1
cover liimit,1
cover limnit,1
cover linit,1
cover listed,1
cover mixer,1
cover new,1
cover page,1
cover policy,1
cover possibly,1
cover r,1
cover r1130,1
cover r12500,1
cover r1705,1
cover reported,1
cover requesting,1
cover st,1
cover there,1
cover top,1
cover when,1
cover with,1
cover_x000d_ _x000d_,1
cover_x000d_ page,1
coverd r1062,1
covered 1114,1
covered 125,1
covered 1493,1
covered 200,1
covered 27100207617,1
covered 40kms,1
covered 560,1
covered address,1
covered advised,1
covered all,1
covered amoount,1
covered and,1
covered cal,1
covered calla,1
covered called,1
covered clc,1
covered cll,1
covered cost,1
covered covered,1
covered drain,1
covered fir,1
covered firs,1
covered fort,1
covered fpor,1
covered hybrid,1
covered it,1
covered leak,1
covered leaking,1
covered nd,1
covered needs,1
covered no,1
covered only,1
covered please,1
covered products,1
covered r1100,1
covered r1130,1
covered r1368,1
covered r1369,1
covered r1400,1
covered r1425,1
covered r1480,1
covered r1495,1
covered r1560,1
covered r1635,1
covered r1692,1
covered r1700,1
covered r1720,1
covered r1780,1
covered r1925,1
covered r19700,1
covered r1980,1
covered r1987,1
covered r2000with,1
covered r280,1
covered r3000,1
covered r425,1
covered r5000,1
covered r607,1
covered r747,1
covered r750,1
covered r846,1
covered r880,1
covered r905,1
covered remaining,1
covered repairs,1
covered response,1
covered ski,1
covered thousand,1
covered tial,1
covered to,1
covered under,1
covered warranty,1
covered was,1
covered_x000d_ _x000d_,1
coveresd fee,1
covering fee,1
covering material,1
coverlimit minus,1
coveted r1000,1
covwews r2000,1
cr2000 r280,1
cracked client,1
cradock 5880,1
craig kp,1
crammer rdmalabar,1
craven investments,1
cravenby cape,1
cravenby street,1
crawford cres,1
crayfish creek,1
crayzee fish,1
creek complex,1
creek meer,1
cres heatherdale,1
cres humansdorp,1
cres levyvale,1
cres petersfield,1
cres somerset,1
cres strubenvale,1
crescent adcockvale,1
crescent bonela,1
crescent brooklyn,1
crescent eversdal,1
crescent gallo,1
crescent graanendal,1
crescent grassy,1
crescent jim,1
crescent milnerton,1
crescent mondeor,1
crescent northwold,1
crescent park,1
crescent rant,1
crescent rooihuiskraal,1
crescent rosslyn,1
crescent sherwood,1
crescent silver,1
crescent starwood,1
crescent theresapark,1
crescent van,1
crescent vosloorus,1
crescent wellway,1
crescent westering,1
crescent willow,1
cresent table,1
cresframesby gqeberha,1
creslanga cape,1
cressy road,1
crest estate,1
crest quorn,1
crest_x000d_ the,1
cresta randburg,1
crestal called,1
crick reported,1
crimson street,1
crisis call,1
cristo avenue,1
crossmoor chatsworth,1
croydon cape,1
cruz reported,1
crystal park,1
csi co,1
cuckoo ave,1
cuckoos nest,1
culemborg crescent,1
culross road,1
cumberland avenue,1
cupboard client,1
cupboard now,1
cupboard thus,1
cupboards carpets,1
cupboards client,1
current issue,1
current piping,1
currently _x000d_,1
currently gushig,1
currently propert,1
currently the,1
currently vacant,1
currently waiting,1
customer _x000d_,1
customer feel,1
customer very,1
customer_x000d_ _x000d_,1
cut off,1
cxa to,1
cybersmart co,1
cyclinder tams,1
cyclops street,1
cynthia called,1
cypress road,1
cyrildene johannesburg,1
d bester,1
d k,1
d said,1
da cruz,1
da silva,1
dacruz sgs,1
dain machine,1
dainfern golf,1
dakota pl,1
dal krugersdorp,1
dalder close,1
dalview brakpan,1
dalwai reported,1
damage 50,1
damage _x000d_,1
damage already,1
damage call,1
damage care,1
damage leaking,1
damage rport,1
damage unit,1
damaged _x000d_,1
damaged covered,1
damaged making,1
damaged power,1
damaged walls,1
damaged well,1
damages damage,1
damages geyser,1
damages if,1
damages occured,1
damages shower,1
damages so,1
damages the,1
damages too,1
damoense psgsp3016377,1
damons reported,1
dana leak,1
dane garsfontein,1
daniel advised,1
daniel hamman,1
daniel road,1
daniel testing,1
daniels_x000d_ _x000d_,1
dannhauser street,1
dante advised,1
daphne avenue,1
darius mphake,1
darius radingoana,1
darlenes properties,1
darling st,1
darling_x000d_ client,1
darlington 0718137053,1
date 2023,1
date loss,1
daughter 0721814578,1
daughter 0832355576,1
daughter elzanne,1
daughter fatima,1
davaram st,1
davico plumbing_x000d_,1
david 082,1
david 0833015794,1
david devilliers,1
david owner,1
david reported,1
davide naidoo,1
davu called,1
davu peri,1
davu teri,1
dawad called,1
dawie claims,1
dawie from,1
dawn confirmed,1
day 0816578887_x000d_,1
day but,1
day called,1
day clc,1
day melissa_x000d_,1
day natassja,1
day nats,1
day team_x000d_,1
day_x000d_ trust,1
daya _x000d_,1
days ago,1
days no,1
dazrie called,1
db box,1
db geyser,1
de bruin,1
de la,1
de vaal,1
de volliers,1
de wee,1
de wet_x000d_,1
deadre advised,1
dealership called,1
dearest sovereigns_x000d_,1
debri blocked,1
december r2000,1
decided to,1
declaration case,1
declaration leaking,1
declaration read,1
declaration repairs,1
declaration will,1
deduct r280,1
deducted clients,1
deepak 0834470000,1
deepdene ballito,1
degrees unit,1
dela fontein,1
delange 12,1
delay joni,1
delivered geyser,1
delkort called,1
delmas_x000d_ client,1
delores 0219301100,1
demi mist,1
demi reported,1
denise 0725820043,1
denise road_x000d_,1
deodar street,1
deon called,1
deon claims,1
deonette can,1
deonettematt gmail,1
department advised,1
department as,1
department education,1
deposit r280,1
der hoff,1
der linde,1
der nest_x000d_,1
der schyff,1
derek geyser,1
derek reported,1
derick 0790799601,1
derick advised,1
derrick advised,1
derrick leaking,1
description called,1
description when,1
desiree i,1
desk ask,1
desk requested,1
desmond 0682586511,1
destimate cost,1
detail mrs,1
detail tshepo,1
details are,1
details jleb,1
details please,1
details santam,1
details will,1
details_x000d_ bcp,1
detction up,1
detect electrical,1
detection again,1
detection already,1
detection assessment,1
detection can,1
detection compile,1
detection concealed,1
detection conducted,1
detection dr,1
detection if,1
detection invooice,1
detection might,1
detection necessary,1
detection no,1
detection only,1
detection please,1
detection r1900,1
detection r5000,1
detection risk,1
detection sp,1
detection test,1
detection up,1
detection will,1
determine what,1
devendra erriah,1
deventer road,1
devilliers geyser,1
devland soweto,1
devon gordons,1
dewedrop advised,1
dewedrop be,1
dewedrop geyser,1
dewedrop plumbers,1
dewedrop will,1
deysel called,1
dhe can,1
dial 780,1
diana tayler,1
diane oosthuizen,1
diaz ext,1
diaz road,1
did consumption,1
did inform,1
did know,1
did leak,1
did make,1
did open,1
did read,1
did replace,1
did work,1
didjob reported,1
die boord,1
die hoewes,1
die wilgers,1
difference only,1
difference shortfall,1
difference sp,1
different diverter,1
different house,1
different toilet,1
dikgomo called,1
dikobo reported,1
dimakatso claims,1
dina broker,1
dina rd,1
dinesh hiranund,1
dinwiddie germiston,1
direct geyser,1
directly clients,1
directly logging,1
directors _x000d_,1
disa rderica,1
discontinued mixer,1
discovered direct,1
discovered new,1
discovered water,1
discovery roodepoort,1
discussed case,1
discussed dewedrop,1
discussed please,1
dishwasher pipe,1
dishwasher plumbing,1
dishwater leaking,1
dispatch extreme,1
dispenser _x000d_,1
dispute fees,1
district plumber,1
diverter faulty,1
dls plumbing,1
do anything,1
do appoint,1
do assessments,1
do charge,1
do do,1
do geyser,1
do have,1
do installation,1
do pay,1
do quote,1
do report,1
do temp,1
do use,1
document still,1
documents payments,1
documents process,1
doen sp,1
does flow,1
does get,1
does go,1
does ignite,1
does pay,1
does plumbing,1
does se,1
does still,1
does want,1
doesnt get,1
doesnt heat,1
doesnt look,1
doesnt mind,1
doesnt stop,1
doing leak,1
doing month,1
doing same,1
dol 21,1
dombeya street,1
don called,1
donavan called,1
done 3rd,1
done and,1
done can,1
done damage,1
done excess,1
done house,1
done please,1
done recently,1
done ref691256,1
done ref695307,1
done send,1
done sp,1
done thats,1
donovan 0823248605,1
donovan called,1
donovan reported,1
donropty co,1
dont appoint,1
dont fix,1
dont know,1
door 213,1
door client,1
door contact,1
door leaking,1
door stopped,1
door was,1
doorenpoort 062,1
dorandia pretoria,1
doreen brokers,1
doreen tshayingca,1
dorling reported,1
dorlyn avenue,1
dornel rd,1
dorothy 0132435950,1
dorothy 0814060568,1
dorothy_x000d_ _x000d_,1
dorp odendaalsrus,1
dorthey reported,1
dos get,1
dose have,1
douglas henry_x000d_,1
douglasdale sandton,1
douglasdale sandton_x000d_,1
down bottom,1
down bubbles,1
down ceiling,1
down clients,1
down covered,1
down haven,1
down now,1
down pipe,1
down the,1
downlight kitchen,1
dr durban,1
dr gert,1
dr karic,1
dr kolbe,1
dr lotus,1
dr midrand,1
dr nahoon,1
dr park,1
dr photo,1
dr photos,1
dr quotes,1
dr rana,1
dr rapiti,1
dr san,1
dr table,1
drai cover,1
drain 0741529846,1
drain 0829980073_x000d_,1
drain 103,1
drain 107,1
drain 11,1
drain 1123,1
drain 121,1
drain 13,1
drain 131,1
drain 136,1
drain 14,1
drain 15,1
drain 167,1
drain 19,1
drain 2,1
drain 23,1
drain 24,1
drain 27826904547_x000d_,1
drain 27834085765,1
drain 28,1
drain 3,1
drain 30,1
drain 30th,1
drain 34,1
drain 352,1
drain 36,1
drain 363,1
drain 37,1
drain 377,1
drain 393,1
drain 42,1
drain 45,1
drain 508,1
drain 560,1
drain 564,1
drain 59,1
drain 613,1
drain 746,1
drain 8257,1
drain 848b,1
drain 9,1
drain 918,1
drain address,1
drain again,1
drain already,1
drain also,1
drain appoint,1
drain assistance,1
drain at,1
drain bathroom,1
drain be,1
drain both,1
drain broken,1
drain burst,1
drain cash,1
drain cleaner,1
drain cold,1
drain common,1
drain completely,1
drain confirm,1
drain confirmed,1
drain contact,1
drain corporation,1
drain dewedrop,1
drain dishwasher,1
drain eedenglen,1
drain ex,1
drain geyser,1
drain had,1
drain house,1
drain led,1
drain loc,1
drain location,1
drain made,1
drain main,1
drain manhattan,1
drain mechine,1
drain need,1
drain no,1
drain now,1
drain please,1
drain property,1
drain quote,1
drain r1612,1
drain r2000for,1
drain requires,1
drain rod,1
drain said,1
drain she,1
drain smelling,1
drain thats,1
drain unblocked,1
drain unit,1
drain urgent,1
drain yard,1
drain_x000d_ _x000d_,1
drainclient covered,1
drainis blocked,1
drains _x000d_,1
drains basins,1
drains cover,1
drains goes,1
drains toilets,1
drakensberg road,1
driefontein drifontein,1
drifontein mulddersdrift,1
drin the,1
drinkwater reported,1
dripping client,1
dripping compressor,1
dripping cupboards,1
dripping fascia,1
dripping from,1
dripping the,1
dripping toilet,1
dripping top,1
dripping water,1
driptray now,1
driptray the,1
drive 8,1
drive allandale,1
drive annie,1
drive bel,1
drive burgundy_x000d_,1
drive chloorkop,1
drive constantia,1
drive cotswold,1
drive crystal,1
drive deepdene,1
drive doornpoort,1
drive durbanville,1
drive everest,1
drive faerie,1
drive foresthaven,1
drive helderkruin,1
drive kibler,1
drive kriel,1
drive midrand,1
drive mondeor,1
drive myoli,1
drive newlands,1
drive northpine,1
drive northriding,1
drive oakdene,1
drive progress,1
drive randburg,1
drive rietvlei,1
drive riviera,1
drive shallcross,1
drive viking,1
drive weltevreden,1
drive woodhill,1
driveway infront,1
driving 40minutes,1
dromedaris street,1
drop every,1
drove 40,1
drove over,1
drparktown estate,1
drq 23,1
drq 6105245154084,1
drq be,1
drq claims,1
drq needed_x000d_,1
drq pipe,1
drq replacement,1
drq visible,1
dry doesnt,1
dry jojo,1
dthat we,1
dthe 1st,1
dthe overflow,1
dthere is,1
dtshayingca gmail,1
du bruyn,1
du plessis,1
du plessisstraat_x000d_,1
du preez,1
due burnt,1
due burst,1
due element,1
due hail,1
due incorrect,1
due leak,1
due load,1
due loadshedding,1
due possible,1
due rain,1
due slope,1
due storm,1
due terms,1
dug area,1
dulcie hattingh_x000d_,1
dumisani claims,1
dumisani reported,1
duncan barker,1
dunn called,1
duplessis anton,1
duppper_x000d_ _x000d_,1
durban faizel,1
durbankwazulu natal,1
durbanvillewestern cape_x000d_,1
during the,1
dushel 27218701535,1
duvenage reported,1
duwayne advised,1
duwayne reported,1
dylan brown,1
dylan excess,1
dylan from,1
dylan reported,1
dylanb ium,1
e 2,1
e 4,1
e shoshanguve,1
e4 error,1
each _x000d_,1
each geyser,1
each other_x000d_,1
eagle cresent,1
eagle street,1
eagle view,1
eagles nest,1
east benguela,1
east cape,1
east client,1
east if,1
east johannesburg,1
east wapadrand,1
eastern cape,1
eastern ext,1
eater close,1
eating up,1
eb afor,1
eb clients,1
ebath 0824930092,1
ebith 0824930092,1
ebith gerber,1
ebith reported,1
eco estate,1
edenvale 1609,1
edenvale street,1
edenvalegauteng_x000d_ geyser,1
edge roof,1
edgemead cape,1
edith street,1
edorado park,1
education moletlane,1
edward ave,1
edward called,1
edward road,1
edwards _x000d_,1
edwards road,1
edwille brokerage,1
edwin 0798776556,1
edwin stmoreleta,1
edwin tenant,1
eedenglen aftree,1
eenheid 324,1
eersterust pretoria,1
effective 1,1
effingham heights,1
eienaar_x000d_ 11,1
either the,1
either tomorrow,1
either wall,1
ek so,1
el prado,1
elaine 011,1
elak ceiling,1
elamrie 27824636976,1
eland small,1
elandra care,1
elardos park,1
elbie advised,1
eldorado park,1
eldoreighn centurion,1
electric sp,1
electrical 100,1
electrical cc,1
electrical contact,1
electrical covered,1
electrical damage,1
electrical fault,1
electrical faults,1
electrical isolator,1
electrical plumbing,1
electrical problem,1
electrical pty,1
electrical replace,1
electrical shortcircuit,1
electrical shower,1
electrical solar,1
electrical the,1
electrical to,1
electrician appoint,1
electrician be,1
electrician connect,1
electrician motor,1
electrician must,1
electrician needs,1
electrician picked,1
electrician reprogramme,1
electrician there,1
electrician theres,1
electrician unit,1
electricians found,1
electricicty _x000d_,1
electricity 21,1
electricity 23,1
electricity 3325,1
electricity 421,1
electricity 5,1
electricity 6749,1
electricity _x000d_,1
electricity advised,1
electricity bill,1
electricity board,1
electricity call,1
electricity did,1
electricity email,1
electricity heating,1
electricity home,1
electricity house,1
electricity i,1
electricity if,1
electricity keeps,1
electricity larry,1
electricity member,1
electricity mpumi,1
electricity nosipho,1
electricity possible,1
electricity r2000,1
electricity related,1
electricity requested,1
electricity should,1
electricity trip,1
electricity trips_x000d_,1
electricy he,1
electrocuted everytime,1
electrocuted when,1
element 24,1
element 35,1
element already,1
element be,1
element client,1
element clients,1
element cover,1
element electrician,1
element failure,1
element made,1
element maximum,1
element needs,1
element pulling,1
element r1000,1
element r1076,1
element required,1
element solar,1
element that,1
element the,1
element thermosat,1
element was,1
element wiseman,1
element_x000d_ thermostat,1
elephant hills,1
elgin avenue,1
eliana called,1
eliane 0833247117,1
elisma reported,1
eliza from,1
eliza king,1
eliza report,1
elizabeth 0767650962,1
elizabeth bathurst,1
elizabeth south,1
elizabeth st,1
elize hein,1
ella 0861666686,1
elland road,1
elle kp,1
ellen scheepers,1
elma gardens,1
elma park,1
elmapark edenvale,1
elmarie advised,1
elmarie broker,1
els cec,1
else _x000d_,1
elspark germiston,1
elton advised,1
elzanne called,1
em2 reatyassist,1
email accounts,1
email add,1
email adddress,1
email bulibukani,1
email estatemanger1,1
email eunicephusoane60,1
email finds,1
email futhingubane,1
email galiema,1
email jabusib,1
email jene,1
email jinitajvv,1
email jonjenwright1,1
email julie,1
email kaveerm,1
email kp,1
email limits,1
email melissa,1
email nancy,1
email number,1
email payment,1
email payments,1
email shannon,1
email tshego,1
email waide,1
emailaddress shannonpillay1234,1
emailed possible,1
emails address,1
emailsvalderr8 gmail,1
emalahleni 1044,1
emalahleni 1044_x000d_,1
emalahleni south,1
embalenhle south,1
embalenhlesouth africa,1
eme broker,1
emerald dr,1
emerald street,1
emergency repairs,1
emerson claims,1
emerson street,1
emisha 0824985312,1
emngeni clermont,1
empangeni clients,1
empangeni street,1
employee king,1
en 26km,1
en dal,1
en zeezicht,1
end phoenix_x000d_,1
ended came,1
enfield s,1
engela advised,1
engelbrecht clc,1
engelbrecht ref689486claims,1
engelbrecht_x000d_ _x000d_,1
engelin care,1
enid avenue,1
enough if,1
enough water,1
enought and,1
ensure a,1
ensure install,1
ensure pty,1
enter the,1
entire tap,1
entry _x000d_,1
eported a,1
eported leaking,1
equestria pretoria,1
equestria river,1
equipment be,1
erasmia pretoria,1
erasmus 0611120998,1
erasmusrand pretoria,1
erf 3480,1
erica called,1
erica claims,1
erica street,1
erika reported,1
erika scheme,1
ermelo_x000d_ king,1
erraihd gmail,1
erriah chairman,1
error 7,1
error _x000d_,1
error code,1
error heating,1
error r2000,1
error the,1
erskine terracesouth,1
esb _x000d_,1
esb be,1
esb bulilding,1
esb needs,1
esb not,1
esb phoned,1
esb plumbing,1
esb r2000,1
esb regarding,1
esb replaced,1
esb would,1
escombe queensburgh_x000d_,1
escort milnerton,1
eskom and,1
eskom mains,1
esme 27116606331,1
esme_x000d_ geyser,1
esmerald legacy,1
esmeralda reported,1
esmerelda claims,1
especially service,1
ess if,1
est_x000d_ client,1
established that,1
estatae fourways,1
estate 0173,1
estate 1072,1
estate 2086,1
estate 35,1
estate 38,1
estate 5,1
estate 58,1
estate 7161,1
estate 72,1
estate 75,1
estate 9,1
estate _x000d_,1
estate alberton_x000d_,1
estate area,1
estate bendor,1
estate bidoli,1
estate country,1
estate east,1
estate garsfontein,1
estate helen,1
estate hout,1
estate hutton,1
estate jamie,1
estate johannesburg,1
estate libertas,1
estate manger,1
estate mbomele_x000d_,1
estate modisane,1
estate monavoni,1
estate old,1
estate olifantsfontein,1
estate padfield,1
estate palmiet,1
estate pretorius,1
estate pta,1
estate reported,1
estate roodeplaat_x000d_,1
estate roodepoort_x000d_,1
estate silverlakes,1
estate stand,1
estate straat,1
estate syringa,1
estate westfield,1
estatemanger1 csi,1
estates 2,1
estates 509,1
estates gauteng,1
estates kyalami,1
estelle 0634417523,1
estelle called,1
estelle duplessis,1
estelle st,1
etosha strutt,1
eunice leaking,1
eunice noko_x000d_,1
eunicephusoane60 gmail,1
euros st,1
evan the,1
evans park,1
evelyn reported,1
even though,1
even touch,1
even when,1
event burst,1
event r900,1
ever flushes,1
everest heights,1
eversdaal bellville,1
eversdal cape,1
every 2,1
everything again,1
everything clients,1
everything fine,1
everything off,1
everytime switches,1
everytime takes,1
everywhere client,1
eveytime when,1
ex gracia,1
ex4 krugersdorp,1
exactly client,1
exc ess,1
excedd r600,1
exceds r600,1
exceds r900,1
exceed 900_x000d_,1
exceed if,1
exceed r600_x000d_,1
exceed we,1
exceeding r600,1
exceeding r900,1
exceeds 600,1
exceeds geyser,1
exceeds r280,1
exceeds r600_x000d_,1
exceeds this,1
excepted any,1
excepts pay,1
exces r250,1
exces sif,1
excess 0,1
excess 0126536206_x000d_,1
excess 0711448794,1
excess 250,1
excess 2500,1
excess 280_x000d_,1
excess 3500_x000d_,1
excess 9,1
excess 900,1
excess advise,1
excess also,1
excess authorization,1
excess being,1
excess cannot,1
excess case,1
excess damage,1
excess does,1
excess due,1
excess effective,1
excess iof,1
excess nil,1
excess nill,1
excess nleclobuthelezi,1
excess psg,1
excess quotation,1
excess r2000,1
excess r250_x000d_,1
excess r2802,1
excess r2850,1
excess r3000,1
excess r699,1
excess repairers,1
excess repalcement,1
excess replace,1
excess risk,1
excess sp,1
excess t280,1
excess the,1
excess_x000d_ burst,1
excess_x000d_ surita,1
excesses any,1
excesses please,1
excesses r,1
excessif amount,1
excessively overflow,1
excessively still,1
excesswater heating,1
excl client,1
excludes first,1
excluding _x000d_,1
excluding psrat,1
excss if,1
execess r280,1
exess is,1
exgratia client,1
existing geyser,1
expensive _x000d_,1
explained benefits,1
explained cover,1
explained geyser,1
explained offered,1
explained r2000,1
explanation highlighted,1
exposed covered,1
ext 13,1
ext 16,1
ext 3,1
ext 317,1
ext 36rua,1
ext 5,1
ext 6,1
ext 9,1
ext george,1
ext road,1
extend waive,1
extension 2,1
extension 24,1
extension 6,1
extension mabopane,1
extensive leakage,1
extensively leaking,1
external client,1
extra amount,1
extra pipe,1
extreme plumbing,1
extremely high,1
eybers street,1
ezintandi str,1
f advised,1
f pipe,1
f repairs,1
f18 emailaddress,1
f2 paros,1
f6 the,1
facility manager,1
fadila advised,1
fagran santam,1
failure client,1
failure the,1
fairchild avenue,1
fairland randburg,1
faizel owner,1
fall response,1
fallen off,1
falls boulevard,1
falls northcliff,1
famtima called,1
fanie 0828574444,1
far db,1
farm driefontein,1
farms cape,1
farnham road,1
farrar street,1
fascia board,1
fascia boards,1
fast taking,1
fat olive,1
fatima managing,1
fatima reported,1
fault 46,1
fault and,1
fault causing,1
fault client,1
fault components,1
fault was,1
faults cabling,1
faulty _x000d_,1
faulty call,1
faulty calve,1
faulty db,1
faulty drain,1
faulty flush,1
faulty gasket,1
faulty inlet,1
faulty isolater,1
faulty just,1
faulty keeps,1
faulty kitchen,1
faulty made,1
faulty mixer,1
faulty need,1
faulty needs,1
faulty no,1
faulty one,1
faulty panels,1
faulty pressure,1
faulty prv,1
faulty set,1
faulty sge,1
faulty so,1
faulty swimming,1
faulty toilets,1
faulty vacuum,1
faulty water,1
faulty were,1
faultya seven,1
fauna park,1
faure reported,1
fautly client,1
fauty geyser,1
fawell advised,1
fc plumbing,1
fdt construction,1
fdt go,1
fdtconstruction co,1
fdtconstruction gmail,1
fears will,1
featherbush stnoordwyk,1
feb 2023,1
feb _x000d_,1
feb now,1
fee 13,1
fee 1h,1
fee adress,1
fee all,1
fee also,1
fee applicable,1
fee clients,1
fee do,1
fee dumisani,1
fee f,1
fee he,1
fee one,1
fee only,1
fee pipe,1
fee r690,1
fee repairs,1
fee service,1
fee there,1
fee thinks,1
fee_x000d_ eng,1
feedback required,1
feedback will,1
feel like,1
feels like,1
fees case,1
fees customer_x000d_,1
fees r563,1
fees related,1
feleng kp,1
felix claim,1
felix kpc000065,1
felix reference,1
fell dr,1
felleng called,1
felling already,1
female tenant,1
fence cameras,1
fergus road,1
ferndale randburg_x000d_,1
fetch them,1
fever tree,1
few days,1
few months,1
few weeks,1
ff policy,1
ff soshanguve,1
ficksburg 9730,1
ficus katjiepiering,1
filing up,1
fill client,1
filled water,1
fills back,1
filtration system,1
financial service,1
finch place,1
find geyser,1
find herewith,1
find the,1
finds well,1
fine callout,1
fine found,1
fine hot,1
fine other,1
fine the,1
fine with,1
finley claims,1
finsbury randfontein,1
fiona crescent,1
fiona fourie,1
fiona qortmane,1
fionaq cybersmart,1
fir 1st,1
fire client,1
firebird blue,1
firs only,1
first any,1
first ave,1
first burst,1
first case,1
first covered,1
first excluding,1
first first,1
first labor,1
first labour,1
first related,1
first step,1
first tap,1
first thesp,1
first thing,1
fish eagle,1
fish guest,1
fisher reported,1
fitted address,1
fitted non,1
fitted solar,1
fitting also,1
fitting pipe,1
fitting repair,1
fitting so,1
fittings would,1
fix gesyer,1
fix pipe,1
fix wants,1
