Bigram,Frequency
toilet flushing,12
tripping the,12
unit 6,12
valve _x000d_,12
warranty _x000d_,12
washing machine,12
water leak,12
00 send,11
00_x000d_ _x000d_,11
1500 client,11
2000 with,11
_x000d_ address,11
_x000d_ invoice,11
a leak,11
advise blocked,11
africa_x000d_ geyser,11
alberton south,11
and needs,11
appointed client,11
are well,11
assist _x000d_,11
be burst,11
be done,11
call logged,11
called request,11
carol may,11
cca clc,11
claims reported,11
clients leaking,11
clients solar,11
confirmed excess_x000d_,11
drain machines,11
excess 1500,11
fee of,11
first sp,11
for teh,11
from claims,11
geyser warming,11
gqeberha south,11
have building,11
have hot,11
hour labour,11
kitchen client,11
log a,11
log call,11
maximum cover,11
maximum value,11
needed sp,11
not valid,11
of 280,11
only if,11
out fee,11
pipe burst,11
r600 sp,11
report visible,11
reporting faulty,11
request plumber,11
solar geysers,11
taps client,11
the water,11
to advise,11
to request,11
unit 3,11
value r2000,11
went out,11
a call,10
a r8250,10
able to,10
advise clients,10
are leaking,10
back not,10
bathroom basin,10
burst proceed,10
call for,10
can assist,10
client made,10
coming roof,10
cost excessed,10
drain call,10
excess 600,10
excess applicable_x000d_,10
excess r500,10
excessed geyser,10
getting hot,10
geyser heat,10
geyser reported,10
geyser water,10
gushing out,10
have water,10
he has,10
heating call,10
installation _x000d_,10
kempton park,10
kitchen tap,10
leaking covered,10
limits a,10
limits r8250,10
location unit,10
log related,10
might be,10
needed please,10
needs a,10
new ref,10
not able,10
not sure,10
of the,10
out geyser,10
parts exceed,10
power client,10
pressure reducing,10
proceed excess,10
provide quote,10
quote_x000d_ _x000d_,10
r280 _x000d_,10
r280 applicable,10
replacement burst,10
report faulty,10
report that,10
reported toilet,10
resultant damage,10
should costs,10
sp advised,10
tap needs,10
the pipe,10
then client,10
theres no,10
thermostat safety,10
unit 1,10
up excess,10
up unit,10
vacuum breakers,10
visible leak,10
water leaking,10
water meter,10
we can,10
well _x000d_,10
will use,10
1 hr,9
1hr labour,9
2500_x000d_ geyser,9
27215950250 broker,9
5 claim,9
_x000d_ kind,9
_x000d_ r900,9
_x000d_ trust,9
a new,9
a report,9
agent called,9
ahead replacement,9
ambiton called,9
apply _x000d_,9
are required,9
assist with,9
assistance clients,9
body corp,9
body corporate,9
brokers called,9
c o,9
cape town_x000d_,9
case if,9
client wants,9
come out,9
cost sp,9
drain and,9
excess 5,9
excess is,9
geyser fee,9
heating geyser,9
if parts,9
is a,9
is r1500,9
it is,9
krugersdorp south,9
leak kitchen,9
leak roof,9
leak wall,9
leaking roof,9
